checkpoint,context_fid,laplace_b
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps3088000_val0.0885_b0.0573,56.572723388671875,0.05565639898255814
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps123520_val0.0386_b0.0256,56.66471862792969,0.025969280523255815
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps247040_val0.0404_b0.0321,57.00321960449219,0.031622587209302326
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps370560_val0.0411_b0.0362,56.04681396484375,0.03558609375
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps494080_val0.0418_b0.0355,56.45491409301758,0.03633288517441861
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps617600_val0.0424_b0.0383,57.07307052612305,0.0381260210755814
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps741120_val0.0429_b0.0418,56.61547088623047,0.0408190261627907
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps864640_val0.0428_b0.0403,56.696624755859375,0.041168350290697674
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps988160_val0.0438_b0.0440,56.48817443847656,0.043716642441860465
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1111680_val0.0446_b0.0466,54.7323112487793,0.045727659883720934
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1235200_val0.0454_b0.0473,54.32419967651367,0.047312074854651165
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1358720_val0.0458_b0.0480,54.22373580932617,0.04883260174418605
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1482240_val0.0463_b0.0499,53.75679016113281,0.04994457485465116
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1605760_val0.0470_b0.0507,54.04116439819336,0.05064390988372093
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1729280_val0.0473_b0.0520,53.939796447753906,0.05206578851744186
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1852800_val0.0481_b0.0533,53.71158218383789,0.05303050872093023
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1976320_val0.0476_b0.0522,53.64109802246094,0.05221860828488372
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2099840_val0.0490_b0.0558,53.45838165283203,0.055677765261627904
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2223360_val0.0489_b0.0560,53.07024002075195,0.05564964752906977
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2346880_val0.0495_b0.0569,53.353477478027344,0.05640603197674419
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2470400_val0.0495_b0.0565,53.11220932006836,0.05719504723837209
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2593920_val0.0502_b0.0593,52.688358306884766,0.05828549055232558
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2717440_val0.0506_b0.0586,52.5750846862793,0.05950923691860465
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2840960_val0.0508_b0.0599,52.751766204833984,0.059490381540697676
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2964480_val0.0507_b0.0601,52.40597152709961,0.05941539244186046
audio2latent_backbone:gru:skipFalse_layerwise:conv:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps3088000_val0.0509_b0.0606,52.28539276123047,0.06020546875
audio2latent_lstm1_steps123840_val0.0388,53.0542106628418,0.02649797601744186
audio2latent_lstm1_steps247680_val0.0396,53.394920349121094,0.028994611191860465
audio2latent_lstm1_steps371520_val0.0406,53.981903076171875,0.03248647165697675
audio2latent_lstm1_steps495360_val0.0403,53.656341552734375,0.03165775436046512
audio2latent_lstm1_steps619200_val0.0407,53.18972396850586,0.02982438226744186
audio2latent_lstm1_steps743040_val0.0401,53.08159255981445,0.02773823582848837
audio2latent_conv_steps123840_val0.0387,56.94935607910156,0.02587457848837209
audio2latent_conv_steps247680_val0.0397,57.863853454589844,0.025926515261627908
audio2latent_conv_steps371520_val0.0404,60.39534378051758,0.027421613372093024
audio2latent_conv_steps495360_val0.0410,60.618927001953125,0.028930374273255816
audio2latent_conv_steps619200_val0.0410,61.51829528808594,0.028533621002906975
audio2latent_conv_steps743040_val0.0417,61.51987838745117,0.02920469840116279
audio2latent_conv_steps866880_val0.0415,62.70589828491211,0.029387785247093023
audio2latent_conv_steps990720_val0.0415,60.91682815551758,0.030500512354651163
audio2latent_conv_steps1114560_val0.0420,62.36603546142578,0.031145392441860466
audio2latent_conv_steps1238400_val0.0418,62.49912643432617,0.0315590988372093
audio2latent_conv_steps1362240_val0.0424,63.53368377685547,0.032457696220930234
audio2latent_conv_steps1486080_val0.0427,62.980064392089844,0.03305080668604651
audio2latent_conv_steps1609920_val0.0423,61.97969055175781,0.032948481104651164
audio2latent_conv_steps1733760_val0.0427,62.41853332519531,0.034132009447674416
audio2latent_conv_steps1857600_val0.0426,62.73213195800781,0.03320754723837209
audio2latent_conv_steps1981440_val0.0430,63.793731689453125,0.033538797238372095
audio2latent_conv_steps2105280_val0.0430,63.59633255004883,0.033747863372093026
audio2latent_conv_steps2229120_val0.0428,62.95568084716797,0.03332318677325581
audio2latent_conv_steps2352960_val0.0430,63.66659164428711,0.03304299055232558
audio2latent_conv_steps2476800_val0.0428,63.450618743896484,0.03276122456395349
audio2latent_conv_steps2600640_val0.0428,63.77243423461914,0.033235352470930235
audio2latent_conv_steps2724480_val0.0429,62.57110595703125,0.03310958575581395
audio2latent_conv_steps2848320_val0.0425,63.82197952270508,0.03222571584302326
audio2latent_conv_steps2972160_val0.0432,63.96668243408203,0.033279298691860464
audio2latent_conv_steps3096000_val0.0429,63.313140869140625,0.033132616279069764
audio2latent_conv_steps3219840_val0.0431,64.68700408935547,0.032461627906976744
audio2latent_conv_steps3343680_val0.0429,64.05982971191406,0.03226886627906977
audio2latent_conv_steps3467520_val0.0426,64.51100158691406,0.032727492732558136
audio2latent_conv_steps3591360_val0.0430,64.4891586303711,0.03261287790697674
audio2latent_conv_steps3715200_val0.0433,63.52549743652344,0.03397566860465116
audio2latent_conv_steps3839040_val0.0432,63.4000244140625,0.03282342659883721
audio2latent_conv_steps3962880_val0.0430,63.79818344116211,0.033190566860465114
audio2latent_conv_steps4086720_val0.0428,64.44401550292969,0.03273540697674419
audio2latent_conv_steps4210560_val0.0428,62.649845123291016,0.03277390625
audio2latent_conv_steps4334400_val0.0432,63.553001403808594,0.032833677325581394
audio2latent_conv_steps4458240_val0.0429,64.14788818359375,0.032337129360465115
audio2latent_conv_steps4582080_val0.0432,63.03672409057617,0.03346203851744186
audio2latent_conv_steps4705920_val0.0433,64.474609375,0.03304066497093023
audio2latent_conv_steps4829760_val0.0430,65.10963439941406,0.0327113335755814
audio2latent_conv_steps4953600_val0.0426,64.239990234375,0.03242565406976744
audio2latent_conv_steps5077440_val0.0432,63.94999313354492,0.03354690043604651
audio2latent_conv_steps5201280_val0.0429,64.00863647460938,0.03305550145348837
audio2latent_conv_steps5325120_val0.0431,63.7596549987793,0.03268528706395349
audio2latent_conv_steps5448960_val0.0430,64.4110107421875,0.03298781613372093
audio2latent_conv_steps5572800_val0.0430,63.89488220214844,0.03320338299418605
audio2latent_conv_steps5696640_val0.0434,64.04718017578125,0.03342157703488372
audio2latent_conv_steps5820480_val0.0432,64.2007827758789,0.03275111555232558
audio2latent_conv_steps5944320_val0.0431,65.10035705566406,0.03288550145348837
audio2latent_conv_steps6068160_val0.0438,63.484169006347656,0.03437609375
